probe	t-statistics
cg00011239	-24.4809896640101
cg00011346	-14.3464264203492
cg00015770	-12.7195749247759
cg00022235	-21.8257211406151
cg00024494	-13.9732419237053
cg00036664	-17.2943586552922
cg00039441	-12.3187566881735
cg00040312	-14.2030110648761
cg00041047	-23.6403685601687
cg00043005	-13.8626730393912
cg00048743	-12.766792908614
cg00060320	-15.0668120415584
cg00063174	-12.4656171003571
cg00064261	-14.8298061859679
cg00065215	-12.9009525337009
cg00089453	-20.4287337742646
cg00090261	-15.2076085590349
cg00108164	-17.7336515249536
cg00109503	-17.0714334405948
cg00119057	-14.2073377296652
cg00119181	-12.0860687772404
cg00122765	15.8275464277224
cg00124695	-14.2956513816281
cg00126959	-16.2625750862195
cg00133909	-20.2461229302938
cg00147943	-15.5340411178435
cg00148114	-15.6560226763494
cg00151768	-22.1092946169405
cg00165323	-12.7626079427529
cg00167654	-12.1213901440275
cg00173504	-15.5516311482055
cg00177451	-14.4034835145533
cg00178728	-18.5011370123029
cg00185566	-18.254166868086
cg00188746	-12.8120188604905
cg00191102	-16.3961416175528
cg00196787	-15.4085142301062
cg00197495	-15.9815736276079
cg00201175	-15.7589314451917
cg00208504	-17.287148941361
cg00216061	-14.3903424903151
cg00216961	-15.4956443364762
cg00225576	-16.2310713236649
cg00236005	-16.3230738838568
cg00243313	-16.0543246986806
cg00244882	-10.8228050080828
cg00244983	-15.7115326534611
cg00253346	-22.4993675419267
cg00253398	-23.8950750377013
cg00257704	-18.1145547121329
cg00261781	-22.3136349642788
cg00270778	-14.4264005180599
cg00270878	10.2234577790897
cg00281273	11.8407912989535
cg00281551	-11.632392994681
cg00287312	-21.2503615877509
cg00294149	-20.0536861401413
cg00303982	-14.8108196888201
cg00312125	-11.7319550305082
cg00314240	-15.4261659697666
cg00318543	-22.552419962962
cg00326300	-16.524252498805
cg00329270	-18.8387037669766
cg00329618	-15.2579475896172
cg00343312	-12.6215444628533
cg00344422	-14.8826047645279
cg00346883	-25.3143202803012
cg00347563	-16.6977700094024
cg00347798	-16.2949027030091
cg00352652	-16.1264776827924
cg00382999	-19.8745559843054
cg00395894	-24.1509275049435
cg00396427	-30.5534013704663
cg00398420	-11.5488658155703
cg00414384	-10.9342560034211
cg00415333	-28.8631316999272
cg00418027	-18.5848101530375
cg00419702	-19.9728089425956
cg00424286	-20.6781516257417
cg00425708	-15.2005331680994
cg00426089	-21.0364858454477
cg00434119	-19.9372900757637
cg00443971	-14.1264571856501
cg00444261	-17.8084048366434
cg00453349	-21.1602346397054
cg00459623	-16.4738159019604
cg00462460	-21.412791756733
cg00469207	-17.6105858235815
cg00474696	-26.2224526269517
cg00477226	-20.3178908388766
cg00487232	-15.1014019215503
cg00489539	-12.3811510093934
cg00493389	-22.1032678744469
cg00499700	-11.4904958081671
cg00504690	-18.5909565680489
cg00506811	-19.1359781988834
cg00508526	-15.4518971868423
cg00508543	-12.2768079037797
cg00519002	-15.5799230757392
cg00522018	-14.5088823077068
cg00530448	-14.1626714306295
cg00530925	-11.9824209831193
cg00537837	-13.3594468681041
cg00544449	-10.9327745706394
cg00545916	-15.6934594305642
cg00556112	-22.7617248681653
cg00557947	-11.0901544259345
cg00559939	-15.5696560560538
cg00560482	-14.6040046148479
cg00580978	-15.0310286130124
cg00588393	-11.7956968295491
cg00588517	9.84943464499602
cg00589541	-19.9038513040925
cg00589581	-20.0521706100175
cg00591949	-22.7488369988683
cg00594011	-14.6653057604379
cg00594128	-19.4365699882146
cg00596508	-14.0206675025048
cg00599280	-14.7311679236754
cg00601350	-20.1920142530304
cg00609135	-12.4255676351143
cg00620018	-13.7914199329195
cg00631837	-15.0391835383723
cg00642359	-13.6338842230052
cg00661399	13.8921184639388
cg00688447	-15.1947837307789
cg00693401	-16.9416159830006
cg00697286	12.6697084070571
cg00697992	-10.3923181948885
cg00703260	-16.5430282322863
cg00714725	-11.2258499499174
cg00719568	-18.7125868409763
cg00723994	-12.0294417142278
cg00729690	-21.4147914819472
cg00730653	-13.228265809652
cg00731917	-21.2034274915902
cg00740691	-21.5199749534134
cg00744739	16.1295942940381
cg00748494	-10.0963214097593
cg00755751	-19.1735715102894
cg00756058	-18.2748821713849
cg00758296	-14.0926200030488
cg00765828	-13.7363366044899
cg00773413	-13.9587970033636
cg00777079	-21.0579267018421
cg00785193	-14.2860249276743
cg00787180	-19.0298988361466
cg00802728	-13.2642600972372
cg00803453	-16.6649648251353
cg00805880	-19.7815719747865
cg00810208	-24.5980773947579
cg00812921	-16.4149611025802
cg00813135	-13.0457625808855
cg00821073	-19.5514239033688
cg00845942	-18.123117881846
cg00851770	-19.783427654811
cg00852622	-13.7669936355419
cg00863353	-15.6647134473128
cg00865774	-18.2378649009916
cg00876272	-21.3574908430114
cg00876273	-18.7878057018794
cg00878163	-11.6514586905561
cg00882235	-15.4096985197487
cg00885461	-20.0414912471629
cg00893522	12.6816451974369
cg00906319	-13.7146346022237
cg00914726	-12.7308719720941
cg00916536	-10.6837490107272
cg00939735	-15.0869036766513
cg00950398	-16.3835632116547
cg00955828	-14.208871160261
cg00958884	-24.2362971979893
cg00958944	-15.6238273574682
cg00960186	-21.1910963550286
cg00962913	-14.1760569352597
cg00970396	-11.6078621389949
cg00970757	-22.9887154423783
cg00984146	-13.2423064574862
cg00984474	-22.3594105202768
cg00985086	-17.8222354172289
cg00986598	-20.0220200544953
cg00988148	-12.5176158171439
cg00989229	-17.7739733812081
cg00989765	-13.0978399220251
cg00990763	-16.9318860419875
cg00997611	-11.0268295139663
cg00998451	-13.2140053159765
cg00999988	-19.7207585972095
cg01000489	-17.7008921143961
cg01003815	-14.6106513753552
cg01009145	-16.1358374125022
cg01012295	-8.99805238838172
cg01012595	-13.3908050482352
cg01016102	-15.8622110258916
cg01017397	-22.3975536870534
cg01028796	-16.4909105140054
cg01030534	-18.5844255868044
cg01035160	-14.908005090075
cg01036409	-19.4038223805078
cg01038450	-17.149560907819
cg01043119	-16.260878802969
cg01046309	-14.5002682794086
cg01047904	-13.1430748563403
cg01049813	-18.9833274417453
cg01051310	-18.6894740133264
cg01061714	-17.6711400168284
cg01065806	-14.1337968697987
cg01072942	-17.02314807506
cg01082843	-12.5082438996535
cg01087294	-19.3022757653231
cg01088387	-22.1038293903213
cg01096398	-13.2103481423372
cg01098955	-20.789263636215
cg01099231	-19.0089936846516
cg01103590	-20.0395034000167
cg01104047	-16.6202988609319
cg01107006	-12.4527802952889
cg01110759	-15.7943305885066
cg01114088	-11.0987413393258
cg01116137	-14.4815655088336
cg01121610	-14.2656466972515
cg01128642	-13.7485432893772
cg01145054	-12.7322640711165
cg01147192	-13.5211585286358
cg01147550	-25.8568895873855
cg01151699	-14.4194182204555
cg01151966	-14.4332133417926
cg01152616	-19.8357019184633
cg01163842	-16.1867935456635
cg01164094	-12.4871209927995
cg01164326	-22.1240464438201
cg01169952	-11.9020461236146
cg01178451	-16.7887936547902
cg01183017	-13.43785756491
cg01188396	-15.5240955376406
cg01190692	-16.000494072073
cg01194371	-14.3576650848507
cg01200640	-18.0234415096969
cg01213231	-24.027736798799
cg01221209	21.1916236720558
cg01224524	-18.9390629026226
cg01240094	-16.2129152335745
cg01245966	-15.0288279223141
cg01247522	-15.9419806251703
cg01252672	-20.7545775913552
cg01267709	11.7680528042331
cg01288337	-22.0630709863791
cg01298010	-11.2470542647252
cg01309121	-23.6107012153836
cg01310768	-22.8400756390835
cg01313514	-13.3815530660283
cg01313904	-16.4769548186814
cg01316047	-19.3324603901902
cg01316819	-18.7417219855888
cg01322975	-13.0311200419715
cg01323777	-7.06917952199545
cg01328500	14.9796088833772
cg01328892	-12.9801920435831
cg01333327	-23.2412729985725
cg01345354	-28.4560628737794
cg01361555	-24.4911944782656
cg01368812	-14.7907001675513
cg01369750	-15.2681821728975
cg01379240	-14.4289873633882
cg01381678	-12.7380950154536
cg01386735	-26.9283939015936
cg01394671	-19.3380047642736
cg01408654	-11.5541065672347
cg01412907	-17.1690439056483
cg01419831	-14.9329117103596
cg01421994	-19.8655869475287
cg01426853	-14.6961038006122
cg01429321	-17.2659758330802
cg01447112	-16.4969737026352
